,L,R,F,M,C
33,97 days 18:24:00,0.1,95,148227,1.398640194
34,89 days 05:36:00,0.1,47,285144,0.725685618
35,54 days 08:00:00,3.6,25,220389,0.937899941
36,111 days 02:24:00,1.1333333333333333,24,189813,1.087220053
37,97 days 10:24:00,4.166666666666667,54,141012,1.462104927
38,83 days 23:12:00,0.03333333333333333,166,229303,0.890172305
39,61 days 22:24:00,1.1333333333333333,81,140819,1.429179443
40,96 days 13:36:00,0.06666666666666667,98,137876,1.458541443
41,38 days 22:24:00,0.1,35,201141,0.998554546
42,88 days 02:24:00,0.1,95,140803,1.396985007
43,47 days 13:36:00,0.43333333333333335,46,256766,0.764737193
44,113 days 11:12:00,1.2666666666666666,54,160825,1.20853437
45,40 days 04:48:00,0.7333333333333333,21,185493,1.029507529
46,20 days 20:48:00,0.03333333333333333,110,187588,1.015978367
47,93 days 20:00:00,0.23333333333333334,134,140356,1.356053179
48,111 days 16:48:00,0.06666666666666667,107,135811,1.398992423
49,45 days 04:00:00,10.133333333333333,70,219282,0.863479447
50,71 days 08:00:00,0.03333333333333333,189,235687,0.802633323
51,27 days 02:24:00,0.13333333333333333,87,132283,1.425177007
52,89 days 16:00:00,0.36666666666666664,29,211369,0.888869986
53,76 days 18:24:00,0.03333333333333333,48,130135,1.408197795
54,82 days 00:00:00,0.03333333333333333,68,135374,1.349375212
55,113 days 12:00:00,0.13333333333333333,111,216560,0.828452854
56,77 days 05:36:00,0.7333333333333333,69,131660,1.354943567
57,74 days 23:12:00,0.13333333333333333,126,204371,0.867522349
58,112 days 16:00:00,0.5,55,153868,1.146000598
59,111 days 16:48:00,0.7,76,214921,0.819187329
60,110 days 23:12:00,0.5,68,127335,1.380410335
61,113 days 23:12:00,0.03333333333333333,77,136121,1.288018381
62,46 days 08:48:00,0.2,84,186821,0.938031056
63,35 days 01:36:00,0.4666666666666667,96,204612,0.848239546
64,46 days 18:24:00,0.26666666666666666,30,164001,1.057257212
65,105 days 01:36:00,0.6333333333333333,85,121097,1.426106262
66,77 days 14:24:00,2.933333333333333,32,182563,0.944650121
67,45 days 08:00:00,0.6333333333333333,34,170121,1.013669976
68,41 days 14:24:00,0.03333333333333333,197,275800,0.620507614
69,64 days 10:24:00,0.23333333333333334,30,184194,0.928504294
70,19 days 18:24:00,2.066666666666667,18,209911,0.811871079
71,54 days 03:12:00,0.6333333333333333,64,137636,1.236256939
72,27 days 16:48:00,0.13333333333333333,149,219108,0.774487057
73,77 days 12:00:00,0.43333333333333335,61,143186,1.183962818
74,42 days 04:00:00,1.2,36,209839,0.806177069
75,44 days 04:00:00,0.7333333333333333,22,170406,0.992454374
76,12 days 16:48:00,0.9666666666666667,23,169224,0.995539285
77,34 days 04:48:00,0.6,16,163191,1.019520072
78,41 days 17:36:00,0.26666666666666666,102,140220,1.179368992
79,102 days 18:24:00,0.2,81,159255,1.034587737
80,21 days 08:00:00,0.2,30,208687,0.782406571
81,93 days 22:24:00,0.4,127,170611,0.956332827
82,67 days 07:12:00,0.06666666666666667,56,116728,1.394863786
83,23 days 12:00:00,0.03333333333333333,79,208797,0.777341772
84,110 days 23:12:00,0.3,97,155881,1.036667137
85,114 days 00:00:00,0.06666666666666667,158,205159,0.784701427
86,96 days 03:12:00,0.23333333333333334,64,115300,1.391299306
87,45 days 13:36:00,0.43333333333333335,51,137500,1.165835855
88,82 days 06:24:00,4.8,29,157056,1.017859044
89,78 days 23:12:00,0.03333333333333333,69,114077,1.387490292
90,70 days 13:36:00,0.5,88,122619,1.281481989
91,38 days 12:00:00,0.5,42,162453,0.966069448
92,87 days 08:48:00,0.3333333333333333,129,109813,1.429138536
93,89 days 08:00:00,0.4666666666666667,67,123464,1.265322199
94,48 days 06:24:00,1.7666666666666666,12,146784,1.059166667
95,113 days 17:36:00,0.13333333333333333,100,162250,0.952273652
96,103 days 16:48:00,0.36666666666666664,69,118726,1.297050351
97,36 days 01:36:00,1.1333333333333333,17,125349,1.226505277
98,114 days 05:36:00,0.3,12,146784,1.046666667
99,23 days 10:24:00,0.13333333333333333,54,144562,1.053910364
100,69 days 01:36:00,0.7,79,123985,1.228445376
101,67 days 16:00:00,0.16666666666666666,87,105119,1.445489778
102,23 days 09:36:00,0.5666666666666667,53,144682,1.046215562
103,88 days 03:12:00,0.5666666666666667,92,134823,1.118316089
104,46 days 20:00:00,0.36666666666666664,48,150537,1.001144569
105,102 days 17:36:00,0.1,90,108184,1.390945611
106,63 days 06:24:00,0.3,56,104663,1.435274261
107,109 days 09:36:00,0.13333333333333333,146,191328,0.783239829
108,30 days 23:12:00,0.5,35,167150,0.894261083
109,30 days 03:12:00,2.1,33,174046,0.85318887
110,104 days 15:12:00,0.23333333333333334,142,177357,0.835532119
111,41 days 00:00:00,1.4666666666666666,31,204438,0.723434195
112,89 days 08:00:00,0.9666666666666667,53,102999,1.434114409
113,83 days 04:48:00,0.4666666666666667,21,159605,0.925114251
114,22 days 01:36:00,0.9,16,195712,0.75375
115,113 days 18:24:00,0.1,85,155704,0.946174922
116,113 days 19:12:00,0.7333333333333333,71,119961,1.225504039
117,68 days 04:48:00,0.06666666666666667,130,167593,0.873661907
118,47 days 11:12:00,0.13333333333333333,89,149557,0.978068228
119,105 days 13:36:00,0.36666666666666664,83,103087,1.411593411
120,113 days 12:48:00,0.06666666666666667,99,162215,0.896966187
121,110 days 01:36:00,0.9,40,198627,0.731685018
122,71 days 00:48:00,0.36666666666666664,52,99524,1.458000784
123,100 days 11:12:00,0.3333333333333333,65,119794,1.210876087
124,108 days 19:12:00,0.1,34,151642,0.951756044
125,92 days 20:48:00,0.2,83,149993,0.960765569
126,28 days 22:24:00,0.8,65,109089,1.318943707
127,15 days 12:48:00,0.7666666666666667,18,146238,0.982511386
128,82 days 22:24:00,0.13333333333333333,66,102689,1.39722054
129,96 days 20:00:00,0.06666666666666667,52,105167,1.356986792
130,37 days 01:36:00,1.2666666666666666,27,182561,0.780547269
131,113 days 14:24:00,0.03333333333333333,193,209912,0.675609779
132,21 days 10:24:00,0.2,65,184730,0.764
133,23 days 23:12:00,1.9666666666666666,14,144708,0.97367319
134,54 days 03:12:00,0.36666666666666664,24,213058,0.658633893
135,42 days 07:12:00,0.5666666666666667,89,177556,0.787337009
136,70 days 08:00:00,0.26666666666666666,57,98104,1.42497258
137,53 days 07:12:00,0.4,101,140188,0.996902945
138,13 days 02:24:00,0.5333333333333333,19,155552,0.897522308
139,94 days 09:36:00,0.8,95,140931,0.988949912
140,73 days 00:00:00,0.23333333333333334,85,97855,1.423453171
141,113 days 19:12:00,0.7333333333333333,108,169746,0.817685954
142,113 days 17:36:00,0.13333333333333333,64,97250,1.426656247
143,109 days 12:00:00,0.1,113,204853,0.674381581
144,55 days 21:36:00,0.03333333333333333,31,95766,1.438600025
145,101 days 21:36:00,0.16666666666666666,79,129119,1.065611103
146,23 days 06:24:00,0.5666666666666667,109,163010,0.843554751
147,60 days 22:24:00,0.6,19,201613,0.681331859
148,58 days 16:48:00,0.8333333333333334,120,172352,0.790287551
149,96 days 21:36:00,0.03333333333333333,45,116917,1.154155854
150,83 days 23:12:00,4.5,19,136374,0.988910129
151,46 days 19:12:00,6.133333333333334,22,135717,0.993493225
152,51 days 20:00:00,0.5,80,105118,1.277942503
153,88 days 10:24:00,0.2,82,106666,1.255920537
154,44 days 08:48:00,0.4,90,179472,0.744693267
155,44 days 10:24:00,5.233333333333333,17,143287,0.931991388
156,91 days 19:12:00,0.3,39,97116,1.374724556
157,71 days 20:48:00,0.36666666666666664,102,102961,1.295748779
158,113 days 19:12:00,0.36666666666666664,90,158149,0.843185667
159,111 days 20:00:00,0.23333333333333334,125,176585,0.75433474
160,86 days 23:12:00,0.7666666666666667,77,94142,1.414713624
161,113 days 08:48:00,0.2,79,157844,0.843179595
162,89 days 23:12:00,0.43333333333333335,116,165365,0.802227557
163,38 days 21:36:00,0.5,58,91515,1.448642081
164,93 days 14:24:00,0.26666666666666666,109,144321,0.914492693
165,94 days 00:48:00,0.3,180,182540,0.720028487
166,51 days 06:24:00,0.03333333333333333,103,218087,0.602317149
167,111 days 22:24:00,0.26666666666666666,107,155834,0.841613512
168,36 days 13:36:00,4.033333333333333,14,125796,1.040394289
169,50 days 06:24:00,0.06666666666666667,149,155588,0.836742487
170,31 days 00:00:00,1.6333333333333333,76,94185,1.380177417
171,86 days 20:48:00,0.1,55,94577,1.369523774
172,30 days 17:36:00,0.13333333333333333,80,92022,1.407186108
173,111 days 19:12:00,0.5333333333333333,40,139742,0.926317142
174,99 days 21:36:00,0.23333333333333334,142,183472,0.702883928
175,12 days 16:00:00,0.7666666666666667,14,126850,1.016463224
176,37 days 16:00:00,1.0,24,125340,1.026238631
177,35 days 03:12:00,0.6,13,126495,1.014545871
178,89 days 01:36:00,0.06666666666666667,85,151736,0.843447435
179,110 days 12:48:00,0.1,68,117537,1.085817147
180,109 days 13:36:00,0.26666666666666666,116,161730,0.786706177
181,24 days 00:48:00,0.06666666666666667,123,89350,1.419099832
182,85 days 02:24:00,0.5666666666666667,47,91018,1.389867279
183,44 days 08:48:00,3.1666666666666665,14,123662,1.022610665
184,94 days 16:48:00,3.566666666666667,49,90602,1.394936204
185,107 days 16:00:00,0.06666666666666667,86,157799,0.799002655
186,74 days 10:24:00,0.36666666666666664,60,106278,1.182681834
187,105 days 17:36:00,0.13333333333333333,110,166843,0.750906841
188,44 days 07:12:00,5.966666666666667,15,183480,0.681333333
189,109 days 22:24:00,0.06666666666666667,67,119347,1.046676247
190,50 days 05:36:00,0.03333333333333333,51,99034,1.259950118
191,47 days 03:12:00,2.3,74,96520,1.289827497
192,43 days 00:00:00,0.9,12,121632,1.023333333
193,53 days 16:48:00,0.2,59,85171,1.461263576
194,55 days 21:36:00,0.6,120,176951,0.701123814
195,67 days 20:48:00,0.1,60,88428,1.40060309
196,95 days 04:48:00,0.03333333333333333,57,90553,1.366744227
197,27 days 19:12:00,1.9,43,195034,0.631640227
198,72 days 08:48:00,0.06666666666666667,113,151060,0.81511929
199,108 days 12:48:00,0.7666666666666667,42,165589,0.743348652
200,108 days 16:00:00,0.5333333333333333,58,94554,1.299097235
201,103 days 01:36:00,1.0,16,184227,0.66544855
202,113 days 20:00:00,0.6,122,180074,0.68017726
203,107 days 14:24:00,0.2,72,91164,1.343311285
204,53 days 07:12:00,0.3333333333333333,113,121394,1.008554047
205,105 days 10:24:00,0.06666666666666667,77,157206,0.777235347
206,64 days 11:12:00,0.3333333333333333,57,91658,1.332451177
207,27 days 05:36:00,0.43333333333333335,16,115401,1.057235119
208,59 days 14:24:00,0.3,77,151637,0.803643702
209,111 days 21:36:00,0.1,88,117157,1.039534044
210,83 days 08:00:00,1.7,13,137604,0.884236795
211,107 days 21:36:00,0.1,124,113615,1.070194781
212,101 days 20:48:00,1.0333333333333334,69,147549,0.823818121
213,74 days 04:00:00,0.03333333333333333,66,86430,1.406350341
214,40 days 12:48:00,3.4,26,178921,0.679305671
215,56 days 18:24:00,0.13333333333333333,59,94946,1.273062688
216,83 days 01:36:00,0.03333333333333333,125,189177,0.637994577
217,61 days 10:24:00,0.36666666666666664,97,171544,0.701652637
218,99 days 13:36:00,0.1,57,144505,0.832500467
219,39 days 09:36:00,0.16666666666666666,64,262290,0.457967364
220,112 days 19:12:00,3.8,49,88903,1.350911443
221,79 days 13:36:00,0.06666666666666667,58,84353,1.423312271
222,109 days 08:48:00,0.16666666666666666,136,145540,0.82433441
223,40 days 00:00:00,0.13333333333333333,68,148879,0.804845344
224,74 days 16:00:00,0.13333333333333333,71,180226,0.664729007
225,90 days 05:36:00,0.5333333333333333,116,130636,0.916310894
226,83 days 07:12:00,0.03333333333333333,110,172640,0.693026819
227,69 days 07:12:00,0.4,105,145253,0.823284201
228,61 days 19:12:00,0.7,52,83356,1.433468257
229,107 days 00:00:00,0.1,106,167199,0.714441235
230,109 days 00:00:00,5.933333333333334,11,112128,1.065035317
231,47 days 18:24:00,0.43333333333333335,59,92635,1.283990608
232,77 days 03:12:00,0.6,59,145433,0.817583423
233,99 days 20:48:00,0.8666666666666667,83,94441,1.254728561
234,23 days 01:36:00,10.566666666666666,10,122320,0.966
235,67 days 22:24:00,0.03333333333333333,116,136228,0.866121649
236,108 days 22:24:00,0.06666666666666667,95,138873,0.849043083
237,31 days 19:12:00,0.2,79,151183,0.778897164
238,97 days 12:00:00,0.23333333333333334,76,86061,1.367977249
239,81 days 17:36:00,0.03333333333333333,100,91727,1.282347182
240,113 days 22:24:00,0.03333333333333333,107,165304,0.710868219
241,99 days 07:12:00,9.666666666666666,25,109336,1.074683178
242,70 days 23:12:00,0.43333333333333335,114,151625,0.774562836
243,49 days 09:36:00,0.3,57,84080,1.394920314
244,87 days 22:24:00,0.7333333333333333,76,119514,0.98076627
245,17 days 16:00:00,3.3,11,111496,1.05
246,97 days 00:48:00,1.0,43,94144,1.240551283
247,37 days 18:24:00,0.7333333333333333,20,148827,0.784519543
248,82 days 15:12:00,1.0666666666666667,53,85000,1.373478
249,104 days 04:00:00,0.13333333333333333,56,82981,1.403768453
250,30 days 12:00:00,0.06666666666666667,84,140535,0.827823318
251,73 days 13:36:00,0.2,111,141864,0.819703519
252,34 days 12:48:00,0.6,109,126167,0.921339098
253,98 days 08:48:00,0.16666666666666666,60,98083,1.175007596
254,44 days 20:00:00,0.1,61,161499,0.713012031
255,68 days 00:48:00,0.3,43,93447,1.231469603
256,89 days 00:48:00,0.16666666666666666,149,157683,0.724336929
257,41 days 22:24:00,0.13333333333333333,43,111807,1.020765158
258,47 days 20:48:00,2.7666666666666666,56,114358,0.995827664
259,101 days 22:24:00,0.1,94,109142,1.040933738
260,104 days 12:00:00,0.43333333333333335,84,139338,0.811427392
261,20 days 15:12:00,0.3,16,107047,1.051401627
262,99 days 14:24:00,0.5666666666666667,128,131315,0.856878118
263,90 days 10:24:00,0.06666666666666667,124,130776,0.860026534
264,38 days 14:24:00,0.13333333333333333,111,130622,0.859196613
265,57 days 12:48:00,0.03333333333333333,77,134838,0.832180765
266,97 days 08:00:00,0.7333333333333333,42,77936,1.436042137
267,53 days 16:00:00,0.03333333333333333,124,160524,0.695089955
268,32 days 16:00:00,0.2,19,96503,1.156085303
269,43 days 16:48:00,1.5,53,134627,0.828407972
270,34 days 11:12:00,0.03333333333333333,61,83245,1.337276713
271,52 days 08:00:00,0.03333333333333333,17,105377,1.056396083
272,31 days 12:48:00,0.13333333333333333,48,119036,0.934725209
273,90 days 20:48:00,0.7333333333333333,26,94249,1.178456641
274,98 days 01:36:00,1.0333333333333334,43,79426,1.395587087
275,56 days 13:36:00,2.033333333333333,87,115134,0.962306964
276,46 days 23:12:00,0.03333333333333333,114,124499,0.889901525
277,50 days 00:48:00,0.6666666666666666,54,75651,1.462917873
278,52 days 10:24:00,0.6666666666666666,68,163454,0.676618926
279,79 days 04:48:00,0.2,112,134757,0.82046172
280,66 days 12:48:00,0.43333333333333335,73,163958,0.673120738
281,82 days 19:12:00,1.2666666666666666,49,80641,1.368281891
282,19 days 12:48:00,0.06666666666666667,40,127004,0.868515165
283,110 days 01:36:00,0.16666666666666666,82,135413,0.81353969
284,63 days 07:12:00,0.03333333333333333,154,129582,0.848141331
285,101 days 20:48:00,0.43333333333333335,58,145294,0.755701956
286,68 days 13:36:00,0.06666666666666667,52,97731,1.120337764
287,41 days 05:36:00,0.26666666666666666,43,78765,1.388142957
288,62 days 12:48:00,0.13333333333333333,105,138593,0.788873392
289,100 days 01:36:00,0.13333333333333333,97,116461,0.93836632
290,46 days 08:48:00,3.7333333333333334,17,121870,0.896000164
291,49 days 19:12:00,1.9666666666666666,32,77106,1.416159832
292,46 days 16:00:00,0.16666666666666666,37,119320,0.914270784
293,97 days 09:36:00,0.16666666666666666,86,159612,0.682643911
294,24 days 19:12:00,0.43333333333333335,62,139995,0.778110575
295,40 days 00:48:00,0.36666666666666664,67,127081,0.856602875
296,94 days 09:36:00,0.26666666666666666,84,129836,0.837625235
297,63 days 08:48:00,0.26666666666666666,117,132853,0.816301476
298,58 days 12:00:00,0.06666666666666667,122,129272,0.837572715
299,96 days 06:24:00,0.8,87,131029,0.82610529
300,63 days 04:48:00,0.06666666666666667,73,75413,1.434756209
301,104 days 04:00:00,0.26666666666666666,97,113939,0.949395993
302,49 days 21:36:00,0.16666666666666666,93,150612,0.7180637
303,49 days 21:36:00,0.26666666666666666,83,134621,0.801739699
304,43 days 02:24:00,0.36666666666666664,105,145865,0.737595174
305,76 days 04:00:00,1.8666666666666667,27,164336,0.654476682
306,100 days 17:36:00,1.0333333333333334,24,110964,0.968107765
307,97 days 04:48:00,0.06666666666666667,137,122439,0.874927107
308,19 days 04:00:00,0.7333333333333333,57,90144,1.187537496
309,52 days 13:36:00,0.23333333333333334,50,89115,1.201031476
310,34 days 15:12:00,0.26666666666666666,45,139898,0.765013009
311,29 days 20:48:00,0.03333333333333333,109,122024,0.877036239
312,52 days 05:36:00,0.6,46,80830,1.32374168
313,69 days 06:24:00,0.5666666666666667,77,139876,0.763144213
314,91 days 06:24:00,0.16666666666666666,60,154736,0.689844509
315,21 days 21:36:00,0.2,66,151383,0.705022823
316,85 days 03:12:00,0.13333333333333333,77,144030,0.74088551
317,98 days 07:12:00,0.5333333333333333,77,80208,1.325833583
318,41 days 21:36:00,0.43333333333333335,28,77108,1.378992322
319,35 days 06:24:00,3.7666666666666666,34,143761,0.739229694
320,82 days 20:00:00,0.3,62,141413,0.751386294
321,47 days 16:48:00,1.1333333333333333,53,73717,1.440717609
322,30 days 20:00:00,0.13333333333333333,37,72741,1.459011837
323,86 days 20:48:00,2.1666666666666665,94,126174,0.839762709
324,82 days 12:00:00,0.3333333333333333,48,74411,1.423607397
325,44 days 17:36:00,0.16666666666666666,52,73647,1.430674841
326,35 days 04:00:00,0.03333333333333333,52,135689,0.776371777
327,102 days 08:48:00,1.1,59,127314,0.827179729
328,74 days 04:00:00,0.3,72,149171,0.705943112
329,71 days 09:36:00,0.43333333333333335,47,76753,1.37078264
330,113 days 20:00:00,0.3,107,169750,0.619739087
331,33 days 03:12:00,0.7666666666666667,96,136246,0.771855467
332,23 days 17:36:00,0.16666666666666666,132,151273,0.694012613
333,38 days 21:36:00,0.06666666666666667,168,130985,0.800659159
334,28 days 05:36:00,0.5666666666666667,49,125237,0.837061811
335,113 days 12:48:00,4.533333333333333,12,103960,1.00799115
336,89 days 01:36:00,0.43333333333333335,36,109695,0.954319431
337,96 days 15:12:00,2.566666666666667,21,137610,0.760666667
338,63 days 07:12:00,0.8,60,137654,0.760252081
339,113 days 17:36:00,1.1,84,117382,0.8915401
340,97 days 07:12:00,0.23333333333333334,59,97219,1.075326325
341,96 days 20:48:00,0.03333333333333333,118,139566,0.746258043
342,68 days 07:12:00,0.9,49,78417,1.327684941
343,19 days 08:00:00,0.13333333333333333,74,113789,0.91433425
344,28 days 01:36:00,0.23333333333333334,64,139827,0.744006522
345,80 days 21:36:00,0.6333333333333333,47,71121,1.461826465
346,90 days 00:00:00,0.03333333333333333,46,71012,1.462023883
347,83 days 06:24:00,0.23333333333333334,115,115562,0.8967864
348,42 days 12:48:00,0.43333333333333335,28,72232,1.434513512
349,45 days 20:00:00,11.7,12,100421,1.029644795
350,93 days 14:24:00,0.26666666666666666,65,93221,1.107523948
351,52 days 08:00:00,2.2,24,183418,0.562442563
352,68 days 16:48:00,0.13333333333333333,50,135574,0.760115583
353,84 days 09:36:00,0.16666666666666666,98,141053,0.728867305
354,104 days 08:00:00,0.03333333333333333,46,73338,1.398998609
355,58 days 06:24:00,0.5666666666666667,61,114031,0.899280547
356,29 days 01:36:00,2.8,28,82659,1.238878525
357,26 days 20:00:00,2.2666666666666666,28,73852,1.386176542
358,17 days 20:00:00,0.5,17,104641,0.978310605
359,95 days 19:12:00,0.03333333333333333,51,72274,1.416135816
360,74 days 05:36:00,0.5333333333333333,85,104969,0.974864579
361,99 days 13:36:00,0.06666666666666667,128,147767,0.69244581
362,18 days 23:12:00,0.4666666666666667,23,157186,0.650619648
363,74 days 13:36:00,0.06666666666666667,78,121231,0.84343724
364,63 days 16:48:00,0.03333333333333333,67,135439,0.754458243
365,105 days 03:12:00,0.03333333333333333,96,131739,0.775295546
366,36 days 10:24:00,0.6666666666666666,118,143796,0.710068848
367,20 days 19:12:00,1.6,86,128754,0.792415925
368,25 days 20:00:00,0.16666666666666666,36,124032,0.82250645
369,57 days 19:12:00,2.7666666666666666,10,99312,1.025894957
370,91 days 16:48:00,0.03333333333333333,34,70486,1.443316261
371,93 days 16:00:00,0.06666666666666667,23,74910,1.357742091
372,87 days 04:00:00,0.16666666666666666,76,138952,0.731532688
373,51 days 20:48:00,0.6333333333333333,45,145724,0.696498655
374,105 days 00:00:00,0.6,111,145458,0.697522309
375,96 days 22:24:00,0.8333333333333334,47,82382,1.230913428
376,99 days 09:36:00,0.03333333333333333,84,75766,1.337146213
377,109 days 16:48:00,0.03333333333333333,134,116627,0.867424696
378,97 days 12:48:00,0.1,46,130782,0.771173327
379,114 days 13:36:00,0.2,96,135009,0.746628299
380,39 days 10:24:00,3.1333333333333333,16,107690,0.936013465
381,106 days 19:12:00,0.36666666666666664,83,133367,0.755460796
382,104 days 08:48:00,0.1,93,109943,0.91579564
383,33 days 11:12:00,0.2,13,159016,0.632307692
384,17 days 19:12:00,0.06666666666666667,36,113253,0.886428351
385,96 days 11:12:00,0.36666666666666664,73,123568,0.810458452
386,26 days 21:36:00,0.03333333333333333,98,76759,1.303309449
387,96 days 05:36:00,0.1,116,140571,0.710483528
388,108 days 16:48:00,0.5666666666666667,61,81113,1.230116011
389,45 days 00:48:00,0.43333333333333335,85,70965,1.401901923
390,83 days 16:48:00,0.3333333333333333,48,68459,1.453157218
391,78 days 13:36:00,0.2,104,137698,0.721752894
392,95 days 18:24:00,0.4,57,84129,1.179321043
393,96 days 23:12:00,0.3,43,130985,0.757415506
394,37 days 16:00:00,0.4,101,117880,0.841051069
395,78 days 03:12:00,0.06666666666666667,69,141164,0.702125684
396,78 days 02:24:00,0.16666666666666666,71,70069,1.413737887
397,63 days 16:00:00,0.16666666666666666,124,118049,0.837548052
398,77 days 13:36:00,0.6,86,89195,1.10819519
399,82 days 11:12:00,0.4,82,120536,0.818666539
400,37 days 08:00:00,0.03333333333333333,122,137879,0.714470804
401,22 days 05:36:00,0.6666666666666666,18,136876,0.718332944
402,111 days 06:24:00,0.7333333333333333,39,70792,1.387449853
403,45 days 15:12:00,0.13333333333333333,83,112709,0.870657357
404,83 days 00:00:00,0.03333333333333333,81,99888,0.982403492
405,67 days 04:00:00,1.1333333333333333,66,111545,0.8786453
406,110 days 01:36:00,1.3666666666666667,46,71622,1.365195471
407,80 days 03:12:00,0.1,75,131146,0.745084105
408,111 days 15:12:00,2.6333333333333333,69,126180,0.774192107
409,55 days 16:00:00,0.3333333333333333,45,68136,1.432941764
410,82 days 02:24:00,0.13333333333333333,36,66829,1.460493648
411,113 days 12:48:00,0.03333333333333333,106,130691,0.746489276
412,46 days 04:48:00,0.6333333333333333,64,66612,1.464381643
413,31 days 09:36:00,0.2,61,132797,0.734098361
414,19 days 09:36:00,0.03333333333333333,67,123556,0.788739195
415,96 days 18:24:00,1.0,52,125190,0.778333174
416,36 days 20:48:00,0.43333333333333335,21,138363,0.704172358
417,30 days 20:00:00,0.3,100,116315,0.8364076
418,73 days 08:48:00,0.03333333333333333,119,100147,0.971327249
419,110 days 16:00:00,0.6666666666666666,79,74503,1.305487564
420,55 days 21:36:00,0.13333333333333333,101,118160,0.822947613
421,104 days 04:00:00,0.16666666666666666,116,129478,0.750052132
422,36 days 05:36:00,2.8333333333333335,42,74368,1.303695272
423,109 days 06:24:00,0.1,82,126149,0.767930622
424,103 days 05:36:00,0.36666666666666664,96,134194,0.72174598
425,68 days 00:48:00,0.36666666666666664,79,124218,0.779597965
426,97 days 20:48:00,0.13333333333333333,133,143216,0.675632052
427,62 days 02:24:00,0.5,73,134897,0.717086814
428,97 days 12:00:00,0.03333333333333333,58,122349,0.790434004
429,67 days 04:00:00,4.5,19,130168,0.742307172
430,14 days 12:00:00,0.03333333333333333,62,76356,1.265360941
431,77 days 12:48:00,0.16666666666666666,46,67761,1.425841856
432,34 days 10:24:00,0.5333333333333333,38,66550,1.450518407
433,44 days 23:12:00,0.7666666666666667,65,112320,0.858959758
434,15 days 23:12:00,0.43333333333333335,15,99645,0.968166892
435,46 days 19:12:00,0.06666666666666667,93,127824,0.754275019
436,66 days 06:24:00,0.2,13,147883,0.651163082
437,77 days 00:00:00,0.13333333333333333,60,118514,0.811934708
438,42 days 18:24:00,0.06666666666666667,93,117159,0.82114127
439,28 days 13:36:00,0.5,83,134851,0.712543548
440,21 days 12:48:00,0.5333333333333333,44,108388,0.886273019
441,104 days 04:48:00,0.26666666666666666,62,112125,0.855358305
442,41 days 05:36:00,0.06666666666666667,89,78410,1.221743017
443,110 days 14:24:00,0.06666666666666667,78,121245,0.789605839
444,84 days 16:00:00,0.8666666666666667,39,70142,1.3639718
445,55 days 08:00:00,0.4666666666666667,101,102834,0.929938153
446,51 days 15:12:00,0.5666666666666667,44,65769,1.452790676
447,55 days 22:24:00,1.0666666666666667,31,69453,1.375394871
448,57 days 08:00:00,0.23333333333333334,75,122158,0.781846052
449,82 days 19:12:00,0.6,93,106705,0.894763601
450,48 days 16:00:00,0.6666666666666666,54,71496,1.33526505
451,103 days 19:12:00,0.6,73,76834,1.242032954
452,109 days 08:48:00,0.06666666666666667,70,98334,0.969874916
453,73 days 15:12:00,0.4666666666666667,36,102876,0.926531747
454,75 days 17:36:00,0.16666666666666666,45,67936,1.401278409
455,66 days 09:36:00,0.4666666666666667,97,66431,1.432786199
456,54 days 02:24:00,0.3333333333333333,107,132823,0.715139321
